canonical_id,duration,event,sector,cost_original,planned_duration_months,sector_capped,log_cost
618565,2,1,POWER,526.45,31.0,POWER,6.268054074127818
618566,4,1,POWER,1973.98,35.0,POWER,7.5883135507016695
618567,6,0,Roads & Highways,2289.34,41.0,Roads & Highways,7.736455557143186
618568,5,0,Roads & Highways,2541.13,37.0,Roads & Highways,7.84075759127574
618569,4,1,PETROLEUM,210.05,25.0,PETROLEUM,5.352095072228508
618570,2,1,PETROLEUM,184.9,33.0,PETROLEUM,5.225208894727398
618571,4,1,PETROLEUM,381.8,36.0,PETROLEUM,5.947512659578799
618572,6,0,Roads & Highways,309.99,32.0,Roads & Highways,5.739760757321436
618574,5,0,Roads & Highways,1818.46,43.0,Roads & Highways,7.506295032749006
618575,2,1,RAILWAYS,457.72,27.0,RAILWAYS,6.12844000213506
618576,2,1,RAILWAYS,175.0,4.0,RAILWAYS,5.170483995038151
618577,2,1,Roads & Highways,2228.26,34.0,Roads & Highways,7.709424970818542
618578,2,1,RAILWAYS,1467.44,50.0,RAILWAYS,7.291955891785577
618579,2,1,Roads & Highways,2527.0,42.0,Roads & Highways,7.8351837552667485
618580,2,1,POWER,899.0,24.0,POWER,6.802394763324311
618581,2,1,RAILWAYS,1751.18,37.0,RAILWAYS,7.468616005945
618582,4,0,Roads & Highways,1282.97,36.0,Roads & Highways,7.157712119490971
618583,4,0,Roads & Highways,1358.77,36.0,Roads & Highways,7.215070846781037
618584,6,0,Roads & Highways,962.84,35.0,Roads & Highways,6.8709253057314195
618585,2,1,Roads & Highways,856.93,38.0,Roads & Highways,6.754522511078133
618586,4,1,Roads & Highways,254.78,15.0,Roads & Highways,5.544317700005174
618588,2,1,POWER,540.21,33.0,POWER,6.293807373583428
618589,5,1,POWER,1828.0,37.0,POWER,7.511524648390866
618590,5,1,POWER,1958.94,35.0,POWER,7.580669139511101
618591,4,0,Roads & Highways,374.17,33.0,Roads & Highways,5.927379256579233
618592,2,1,Roads & Highways,320.64,32.0,Roads & Highways,5.773432907679949
618593,4,0,Roads & Highways,263.32,32.0,Roads & Highways,5.577160490332613
618594,2,1,POWER,151.26,11.0,POWER,5.025589585878066
618595,2,1,RAILWAYS,1746.45,46.0,RAILWAYS,7.465912861395335
618596,5,1,RAILWAYS,2714.6,42.0,RAILWAYS,7.906768202427492
618597,2,1,RAILWAYS,3219.47,42.0,RAILWAYS,8.07728259061985
618598,5,1,RAILWAYS,210.37,27.0,RAILWAYS,5.353610152296746
618599,5,1,RAILWAYS,4265.42,42.0,RAILWAYS,8.358530347068392
618600,5,1,RAILWAYS,3375.31,41.0,RAILWAYS,8.124538676144773
618601,2,1,RAILWAYS,3606.0,44.0,RAILWAYS,8.19063168090354
618602,2,1,RAILWAYS,2595.0,45.0,RAILWAYS,7.86172707782398
618603,5,1,RAILWAYS,3565.82,41.0,RAILWAYS,8.179429721512022
618604,5,1,RAILWAYS,2429.52,41.0,RAILWAYS,7.795860505211168
618605,5,1,RAILWAYS,2878.97,36.0,RAILWAYS,7.965535156409071
618606,5,1,RAILWAYS,3273.61,38.0,RAILWAYS,8.093954057008828
618607,2,1,RAILWAYS,2842.14,40.0,RAILWAYS,7.952664354195161
618608,2,1,RAILWAYS,1141.78,29.0,RAILWAYS,7.041219169328432
618609,3,1,Roads & Highways,463.08,30.0,Roads & Highways,6.140056951157809
618610,4,1,RAILWAYS,757.13,56.0,RAILWAYS,6.630854874895033
618611,2,1,Roads & Highways,520.63,52.0,Roads & Highways,6.256958524295923
618612,2,1,RAILWAYS,846.59,46.0,RAILWAYS,6.7423970283066135
618613,2,1,RAILWAYS,662.08,45.0,RAILWAYS,6.496895646556665
618614,2,1,COAL,752.3,42.0,COAL,6.624463554831649
