canonical_id,duration,event,sector,cost_original,planned_duration_months,sector_capped,log_cost
617225,12.0,0,"URBAN
DEVELOPMENT",910.18,39.0,Other,6.814740462813949
617226,12.0,0,"URBAN
DEVELOPMENT",2954.53,54.0,Other,7.991433270779647
617231,11.0,0,Oil & Gas,611.74,25.0,Oil & Gas,6.417940702405611
617233,12.0,0,CIVIL AVIATION,379.3,62.0,CIVIL AVIATION,5.940960414934214
617239,2.0,1,Railways,4079.95,60.0,Other,8.314085083431706
617240,0.5,0,Oil & Gas,935.19,28.0,Oil & Gas,6.841818447330606
617242,12.0,0,POWER,2115.44,33.0,POWER,7.657490710870274
617243,12.0,0,STEEL,198.62,24.0,Other,5.29641555925844
617245,6.0,0,Railways,942.64,48.0,Other,6.849744737478631
617246,9.0,1,POWER,758.09,21.0,POWER,6.632120347441023
617248,11.0,1,POWER,227.96,20.0,POWER,5.43354731580814
617249,12.0,0,STEEL,211.94,24.0,Other,5.3610104358864605
617250,11.0,1,STEEL,207.13,21.0,Other,5.33816288447016
617251,12.0,1,POWER,196.4,18.0,POWER,5.285232126999381
617252,11.0,0,Oil & Gas,958.27,52.0,Oil & Gas,6.866172578531812
617253,7.0,1,STEEL,513.82,22.0,Other,6.243817325006178
617254,8.0,1,STEEL,260.37,27.0,Other,5.565937027962764
617255,11.0,1,STEEL,471.83,32.0,Other,6.1587359158555595
617256,5.0,1,STEEL,884.1,23.0,Other,6.785700632974831
617257,12.0,1,STEEL,627.31,36.0,Other,6.443033675245955
617269,5.0,1,POWER,213.0,18.0,POWER,5.365976015021851
617270,3.0,1,PETROLEUM,409.0,12.0,PETROLEUM,6.016157159698354
617271,1.0,1,PETROLEUM,343.0,12.0,PETROLEUM,5.840641657373398
617272,12.0,0,POWER,370.0,22.0,POWER,5.916202062607435
617278,12.0,0,CIVIL AVIATION,630.37,61.0,CIVIL AVIATION,6.447892061532944
617279,11.0,0,Transmission & Distribution,558.0,30.0,Other,6.326149473155099
617280,1.0,1,MINES,255.37,36.0,Other,5.5466217135207465
617282,1.0,0,Construction,646.53,36.0,Other,6.473165124546728
617284,11.0,0,Oil & Gas,1423.96,38.0,Oil & Gas,7.2618990221333375
617287,11.0,0,Coal,4516.88,64.0,Other,8.415798136250247
617288,11.0,0,Coal,382.61,50.0,Other,5.949626411491186
617299,12.0,1,COAL,383.84,35.0,COAL,5.952827663493064
617302,6.0,1,PETROLEUM,1740.0,45.0,PETROLEUM,7.462214939768189
617303,1.0,0,Oil & Gas,163.0,132.0,Oil & Gas,5.099866427824199
617304,11.0,0,Oil & Gas,340.15,41.0,Oil & Gas,5.832322263261433
617320,1.0,0,Railways,747.91,98.0,Other,6.618618816083784
617321,1.0,0,Railways,150000.0,120.0,Other,11.918397239722838
617322,1.0,0,Oil & Gas,350.46,23.0,Oil & Gas,5.8620959067667
617326,3.0,1,Transmission & Distribution,1842.25,169.0,Other,7.51928559686976
617327,9.0,0,Transmission & Distribution,12200.1,60.0,Other,9.409281390591252
617333,9.0,0,Railways,199.96,52.0,Other,5.303105883279834
617338,9.0,0,Steel,2518.39,42.0,Other,7.831772087711309
617361,9.0,0,Railways,362.81,41.0,Other,5.89663175333681
617364,9.0,0,Railways,338.33,42.0,Other,5.8269730852113995
617370,9.0,0,Railways,180.66,46.0,Other,5.2021368080740675
617372,4.0,1,Railways,349.22,37.0,Other,5.858561528443754
617373,2.0,0,Railways,588.18,48.0,Other,6.378731739681057
617375,9.0,0,Transmission & Distribution,209.38,30.0,Other,5.348915419311128
617379,2.0,1,Railways,446.21,145.0,Other,6.103028282950449
617390,9.0,0,Railways,1281.81,42.0,Other,7.1568082632360746
617391,6.0,1,Transmission & Distribution,488.29,21.0,Other,6.192955360726739
617403,9.0,0,Railways,468.64,29.0,Other,6.151966443762011
617404,9.0,0,Railways,189.21,35.0,Other,5.24812872496475
617406,9.0,0,Railways,2417.24,149.0,Other,7.790795281832355
617408,9.0,0,Railways,166.33,96.0,Other,5.119967910506483
617409,3.0,1,Railways,521.36,125.0,Other,6.258357005352207
617412,7.0,0,Construction,644.0,42.0,Other,6.4692503167957724
617413,2.0,1,Telecommunication,1884.6,37.0,Other,7.542001351621921
617416,9.0,0,Coal,5940.47,42.0,Other,8.68971185648734
617422,9.0,0,Water Resources,1923.81,302.0,Other,7.562582540551889
617727,2.0,0,Real Estate,2786.0,50.0,Other,7.932721027481948
617729,2.0,0,Real Estate,2136.0,50.0,Other,7.667158255319148
617730,8.0,1,Electricity Generation,3335.85,34.0,Other,8.112782527186678
617764,2.0,0,Coal,1354.2,65.0,Other,7.21170432389779
617801,5.0,1,Transmission & Distribution,581.74,21.0,Other,6.367741117751471
617802,8.0,0,Transmission & Distribution,319.0,29.0,Other,5.768320995793772
617803,8.0,0,Transmission & Distribution,379.0,24.0,Other,5.940171252720432
617806,7.0,0,Transmission & Distribution,4535.99,31.0,Other,8.420019075561909
617807,7.0,0,Transmission & Distribution,2368.0,24.0,Other,7.7702232041587855
617808,7.0,0,Transmission & Distribution,1007.0,24.0,Other,6.915723448631314
617818,4.0,1,Oil & Gas,514.91,96.0,Oil & Gas,6.245932331664218
617819,7.0,0,Oil & Gas,557.04,96.0,Oil & Gas,6.324430644399907
617824,0.5,0,Railways,2017.38,48.0,Other,7.610050488439071
617827,7.0,0,Oil & Gas,680.0,60.0,Oil & Gas,6.523562306149512
617828,5.0,1,Oil & Gas,267.0,54.0,Oil & Gas,5.5909869805108565
617829,6.0,1,Energy Storage,225.71,40.0,Other,5.423671667700738
617830,7.0,0,Oil & Gas,1792.0,32.0,Oil & Gas,7.491645473605133
617832,7.0,0,Railways,2887.11,54.0,Other,7.968357587930022
617836,1.0,1,Oil & Gas,635.28,36.0,Oil & Gas,6.455638718030159
617837,1.0,1,Oil & Gas,484.0,49.0,Oil & Gas,6.184148890937483
617838,7.0,0,Oil & Gas,1130.0,47.0,Oil & Gas,7.030857476116121
617839,7.0,0,Energy Storage,356.86,38.0,Other,5.880141848463716
617877,7.0,0,Education,1188.97,41.0,Other,7.081683375703762
617878,7.0,0,Education,1527.0,41.0,Other,7.331714969726466
617880,2.0,0,Railways,2526.47,36.0,Other,7.8349740813879825
617882,7.0,0,Healthcare,358.19,12.0,Other,5.883851496396862
